type	latitude	longitude	altitude (m)	name	desc
T	48.645660000	6.143690000	385.5		
T	48.645770000	6.143280000	384.8		
T	48.645820000	6.143140000	385.4		
T	48.645860000	6.143050000	385.6		
T	48.645910000	6.142940000	385.1		
T	48.645970000	6.142860000	384.7		
T	48.646060000	6.142750000	384.5		
T	48.646090000	6.142730000	384.5		
T	48.646300000	6.142620000	383.4		
T	48.646550000	6.142510000	382.4		
T	48.646670000	6.142430000	382.0		
T	48.646770000	6.142340000	381.8		
T	48.646820000	6.142280000	381.6		
T	48.646840000	6.142250000	381.4		
T	48.646900000	6.142170000	381.2		
T	48.646940000	6.142130000	381.0		
T	48.646960000	6.142110000	381.0		
T	48.646990000	6.142080000	381.0		
T	48.647030000	6.142060000	381.0		
T	48.647080000	6.142060000	381.0		
T	48.647090000	6.142060000	381.0		
T	48.647120000	6.142060000	381.0		
T	48.647180000	6.142080000	381.0		
T	48.647210000	6.142090000	381.0		
T	48.647260000	6.142110000	381.0		
T	48.647560000	6.142640000	381.9		
T	48.647990000	6.143430000	382.3		
T	48.648030000	6.143500000	382.6		
T	48.648400000	6.144190000	382.8		
T	48.648490000	6.144350000	382.8		
T	48.648640000	6.144650000	382.9		
T	48.648730000	6.144820000	383.0		
T	48.648810000	6.144960000	383.0		
T	48.648980000	6.145300000	382.7		
T	48.649010000	6.145370000	382.6		
T	48.649690000	6.146500000	381.1		
T	48.649820000	6.146740000	380.7		
T	48.649950000	6.146960000	381.0		
T	48.650080000	6.147230000	380.7		
T	48.650210000	6.147450000	380.2		
T	48.650270000	6.147570000	380.0		
T	48.650330000	6.147700000	380.0		
T	48.650400000	6.147810000	380.0		
T	48.650460000	6.147900000	380.0		
T	48.650550000	6.147860000	380.0		
T	48.650590000	6.147820000	379.9		
T	48.650630000	6.147760000	379.7		
T	48.650660000	6.147700000	379.7		
T	48.650680000	6.147640000	379.8		
T	48.650700000	6.147580000	379.9		
T	48.650720000	6.147510000	380.0		
T	48.650740000	6.147400000	379.4		
T	48.650800000	6.147190000	378.1		
T	48.650890000	6.146850000	377.3		
T	48.650960000	6.146580000	375.9		
T	48.651000000	6.146430000	375.5		
T	48.651070000	6.146130000	375.9		
T	48.651110000	6.145920000	375.3		
T	48.651200000	6.145960000	375.3		
T	48.651270000	6.146010000	375.3		
T	48.651340000	6.146070000	375.1		
T	48.651320000	6.146100000	375.2		
T	48.651130000	6.146570000	375.0		
T	48.651080000	6.146680000	375.3		
T	48.651070000	6.146750000	375.6		
T	48.651070000	6.146820000	375.8		
T	48.651070000	6.146850000	376.0		
T	48.651100000	6.147120000	376.1		
T	48.651130000	6.147390000	376.0		
T	48.651160000	6.147650000	376.4		
T	48.651580000	6.147530000	375.4		
